delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
urine : psychotherapist | grid | 46 | 92 | 15 | 82 | 94 | 54 | diagnostician | 73 | 74 | sodden | nominal | disburse | electrolyte | merry | 21 | refract | shoe | 88 | nob | 58 | roister | 37 | 83 | counterproposal | 74 | 14 | 88 | 60 | inflammatory | urethra | 45 | 66 | 4 | 49 | 53 | Quakeress | 80
intricate : 17 | 86 | Ezra | 93 | sextillion | abjure | nauseum | 22 | 74 | 94 | 14 | committeemen | 51 | Orca | 60 | oak | drive | Pugh | 88 | 17 | risk | Iroquois | slither | 7 | 23 | 40 | 50 | rectory | 52 | expiration | 82 | kraft | 50 | 65 | radiochemistry | sidewall | kaolinite | 18 | marginal
97 : slurp | loiter | 50 | onomatopoeia | 48 | 68 | seclude | noontime | frontier | 1 | 92 | 85 | straightaway | 77 | pageantry | Lysenko | 8 | 15 | 55 | 98 | chaste | payday | person | intensify | TX | 2 | 75 | 97 | 55 | 13 | devotion | 25 | Edison | 43 | quake | myrtle | 93 | touchdown | Suzuki
balloon : 64 | 35 | roadside | 31 | 37 | 55 | 53 | bankrupt | 75 | 6 | 70 | 59 | innate | 38 | interfere | 22 | 32 | 80 | twirly | 20 | degrade | deformation | ammeter | 49 | doorkeeper | ingredient | 29 | detent | prison | 22 | snuggle | curtail | sunshiny | 37 | omnipresent | hector | 68 | 82 | augmentation
53 : trig | 12 | continent | Farley | 29 | mila | 61 | 53 | 72 | 18 | volume | bellflower | flagpole | 69 | 96 | Egan | 92 | 54 | 68 | dungeon | 26 | inhabit | 39 | 69 | 33 | submittal | rankle | 31 | 76 | Iliad | figaro | dole | 32 | religiosity | Durham | main | runoff | 36 | spigot
21 : glutamate | 42 | 10 | 54 | 34 | 34 | 36 | 87 | metazoan | 36 | pragmatist | 36 | sketchy | 35 | McKinney | emphatic | 44 | 86 | 63 | sunset | 56 | ironwood | 94 | 23 | benevolent | 59 | archaic | 74 | Gillette | 41 | 10 | 44 | blackmail | nitroglycerine | voice | 31 | propagandist | 56 | myocardial
35 : 41 | Bahama | transcend | Monongahela | 93 | 49 | 88 | 50 | Frederick | 1 | cook | steamy | antelope | 75 | 47 | 40 | antisemite | 0 | Isfahan | importune | empty | baggage | 41 | 57 | 41 | 37 | 18 | 65 | duet | 51 | 10 | 72 | 94 | 74 | 90 | stern | 0 | reflexive | 99
80 : 64 | 7 | 23 | 59 | voltage | 48 | 82 | 47 | lithosphere | 18 | 34 | allocate | 10 | 43 | 77 | bijection | 34 | Arnold | 37 | 9 | 35 | 53 | Lyle | contemptuous | 6 | 47 | 60 | 98 | 7 | 54 | criterion | 71 | 9 | advantage | 92 | dramatist | 21 | seldom | unipolar
8 : Davy | 78 | 3 | 6 | 50 | 89 | Daley | 49 | 92 | 86 | whiten | plasmid | ramrod | 90 | menfolk | Eric | Clare | 81 | 7 | chop | 80 | 72 | 33 | pastiche | 33 | 38 | 0 | 43 | 50 | imitable | 29 | 19 | Hodgkin | 78 | 47 | 9 | 21 | 28 | 70
52 : 69 | 7 | 22 | amphioxis | eightfold | saffron | 83 | chromatography | 62 | academician | thiamin | everlasting | 30 | 23 | 16 | 20 | 3 | 52 | shrewd | Dirac | 74 | 83 | Michael | firehouse | 82 | Halstead | anthropomorphism | backhand | opera | 28 | repugnant | Debra | 74 | 21 | 17 | Abraham | Cerberus | 17 | copulate
45 : Roosevelt | 47 | bulb | 83 | 70 | Eliot | 19 | Ehrlich | Gabriel | 61 | persona | 51 | tournament | 8 | Fredericton | 72 | pigeonberry | 81 | 64 | 39 | 92 | 56 | 40 | 72 | coverlet | democracy | bisexual | 63 | shorefront | 72 | 23 | 97 | 90 | 76 | 69 | 57 | 63 | breathy | therapist
78 : 87 | 5 | 88 | 28 | 63 | I'd | 14 | quasi | 63 | 1 | depreciate | erupt | parakeet | 12 | 44 | yore | 32 | eerie | 67 | pummel | down | inaptitude | 49 | 61 | cryptanalysis | 28 | abscess | 36 | 6 | bicameral | incompressible | percussive | conferring | produce | 65 | intrinsic | warehouse | 12 | macaw
entranceway : remonstrate | 83 | 67 | Fulton | 64 | 13 | 4 | 96 | 19 | 32 | Verde | 70 | horsepower | 65 | 98 | paddle | Hausdorff | chloroform | 35 | 29 | frailty | viaduct | 70 | 9 | geopolitic | 96 | 81 | Fatima | 94 | larynx | CDC | 69 | 23 | sub | 70 | delusion | 7 | 50 | 85
12 : 94 | harmonious | 97 | 95 | 14 | degenerate | 74 | 29 | meliorate | 53 | 46 | 31 | 70 | Webb | cytosine | 92 | astute | abnegation | 95 | sociolinguistic | muslim | 91 | ferry | 73 | 31 | Lindsey | 82 | 56 | hydrophone | goad | 74 | 60 | 78 | foolscap | 91 | chump | 88 | 43 | 26
heroism : spitz | 16 | 25 | jazzy | 16 | 71 | 0 | 65 | 81 | 89 | 10 | tarnish | 50 | zigging | 10 | 97 | 12 | 15 | 40 | 69 | 72 | solidify | 12 | relinquish | occurrent | 23 | weren't | 10 | 97 | opaque | 56 | deport | 46 | 96 | 77 | smithereens | garter | 71 | 32
quiescent : 36 | washbasin | Lenny | 40 | 22 | puzzle | 77 | 39 | 41 | 6 | joke | 95 | flash | 87 | chelate | proliferate | 57 | inconsiderate | 84 | passbook | 40 | 25 | 78 | 67 | 94 | callous | 77 | Gerard | wine | 9 | uptake | 48 | Lazarus | 45 | 4 | 36 | 76 | 23 | 76
6 : 65 | 37 | 63 | shrank | 56 | Sheffield | 78 | rush | 98 | tanager | maggot | 85 | Sophoclean | 15 | 44 | hex | heredity | 11 | 57 | evzone | 54 | 81 | 14 | catatonic | 8 | 47 | 30 | 23 | sanction | Fulbright | 32 | Egyptology | whalebone | Poynting | 15 | 28 | 66 | tradeoff | 70
88 : Williamson | 57 | 0 | compulsion | fret | vindicate | 34 | hoopla | ramify | 39 | 56 | plenty | crewman | doorknob | 19 | 96 | 6 | beetle | Johnson | 92 | 63 | turbulent | coke | infallible | 54 | 3 | 56 | 50 | 22 | airpark | titian | juicy | necktie | focus | 62 | 60 | 29 | 48 | 17
45 : 31 | 71 | splurge | verandah | 34 | 16 | pessimism | 46 | Niobe | 37 | 50 | origami | 76 | 28 | flirtatious | 58 | 61 | 10 | 0 | 35 | 73 | 17 | 37 | inchoate | Angola | 83 | Rhoda | tape | 15 | 77 | 78 | 32 | complex | 25 | 27 | 86 | 52 | 76 | 82
cell : 12 | 49 | 91 | 65 | 54 | tackle | 2 | lent | sustain | pray | switchgear | 83 | 77 | Moyer | 18 | 6 | 59 | equanimity | resemble | 45 | 6 | godfather | nightshirt | 64 | 78 | do | 50 | 75 | 15 | 6 | expend | seal | siltstone | 22 | resurrect | 4 | 9 | 84 | 89
47 : unipolar | 19 | 22 | 81 | Malton | 61 | questionnaire | 18 | scour | 34 | 58 | 53 | 26 | Hewett | 34 | 94 | 47 | hock | executive | 23 | skyward | tabular | 49 | 59 | pathetic | 83 | 76 | 67 | traitorous | 24 | 73 | gather | humorous | 84 | 88 | brokerage | 76 | surmise | 90
clang : 95 | 40 | 76 | old | singleton | 66 | 74 | stupefy | bramble | 93 | 85 | 74 | ape | fractal | 31 | Fahey | 20 | 58 | 56 | sandwich | 92 | 36 | sedge | 68 | meridian | 87 | Carthage | 8 | 24 | itinerary | canny | Peggy | 40 | ugh | 32 | 9 | 66 | 9 | 14
86 : bylaw | twentieth | diffusion | 32 | 12 | d'oeuvre | widget | 57 | 97 | 28 | 41 | stole | pax | 44 | 89 | 53 | 6 | farewell | 83 | Thompson | 20 | seraglio | cranky | 16 | 86 | 95 | histogram | cetacean | 0 | 86 | 43 | seamstress | Kline | 42 | 37 | 54 | 44 | 34 | calamus
64 : 94 | 17 | mana | barony | candelabra | backpack | 35 | 66 | raindrop | 31 | applicant | 68 | Harvard | 55 | 44 | argo | Greensboro | 45 | problem | insightful | 95 | 20 | 36 | amplitude | 11 | obfuscatory | furthermore | Procyon | lectern | grandniece | 83 | la | tyranny | 13 | 49 | stator | 67 | radiochemistry | brucellosis
Shipley : sore | Visigoth | 45 | 85 | dishwasher | satan | 62 | 30 | penumbral | 29 | 9 | 8 | RCA | fallout | 93 | orchestra | 2 | 3 | envy | moss | 21 | 75 | 58 | 18 | 60 | 21 | Miriam | virus | 76 | Sahara | 59 | career | 66 | spray | raccoon | begotten | 67 | wally | 3
pygmy : youngish | 89 | forborne | 12 | 98 | jeopard | 42 | sibling | 45 | pint | 93 | pelican | 46 | Hanley | arginine | nasty | 83 | 93 | 30 | indistinct | forsworn | chert | however | 21 | 80 | mindful | Semiramis | feminism | 1 | 19 | 40 | 85 | 85 | 33 | 55 | 17 | 33 | 17 | tiny
6 : 0 | Jeremy | 13 | Durkee | 34 | prolix | 16 | nomad | 96 | orbit | 43 | 1 | signet | 67 | 82 | 18 | 35 | nightgown | 62 | 32 | 68 | 3 | 15 | 92 | 80 | GM | 64 | 47 | 64 | insistent | 45 | beetle | 95 | discriminant | 63 | 74 | 64 | 47 | 7
73 : 57 | 46 | 95 | 39 | 76 | 69 | 71 | 19 | pie | puma | pentecostal | gravitate | 18 | pupate | Athena | 66 | 22 | 77 | 61 | 80 | bullrush | 85 | 45 | dell | captain | 37 | 31 | chloride | 1 | 3 | 65 | 5 | 92 | 92 | 67 | 42 | credential | 92 | 16
attendant : 80 | 28 | carbonate | Seidel | miterwort | pellucid | Oswald | 83 | 61 | 86 | bandstop | Brest | 9 | 59 | stenographer | 34 | 83 | 63 | 62 | 85 | 20 | 70 | 44 | 67 | 83 | 24 | 40 | 4 | 24 | 22 | 34 | 94 | 30 | Jacksonville | 78 | 55 | 27 | 19 | phylogeny
linebacker : 51 | 98 | 31 | culvert | 60 | 96 | 95 | tory | 37 | hirsute | Farkas | 70 | amphetamine | 36 | traversal | touchy | 76 | 43 | Ike | 79 | craggy | pasteboard | 23 | 9 | boycott | 26 | 19 | 25 | chapter | Notre | 12 | budget | 41 | 25 | polonaise | garland | waterfowl | aficionado | Astoria
12 : orangeroot | 94 | 82 | 98 | 83 | 2 | 7 | divisor | 37 | Beloit | 76 | 78 | 93 | 65 | 19 | 91 | Cincinnati | centerpiece | 87 | Moliere | 69 | October | 88 | 52 | 34 | 61 | 59 | European | animism | pol | continuity | 10 | 32 | Essen | widget | Aubrey | 41 | 0 | mummify
92 : plushy | noticeable | 2 | 37 | 85 | hogan | 17 | 32 | 32 | pebble | 97 | O'Brien | contentious | 97 | Frenchmen | 58 | 49 | cohomology | 7 | 41 | gaunt | rookie | loin | hallow | 17 | groat | 81 | 99 | 41 | 7 | erotic | oughtn't | 49 | 53 | 30 | grandson | 30 | 76 | pant
19 : pity | dilution | 27 | 22 | 87 | 81 | coffeecup | riffle | 13 | 46 | procreate | 76 | pomposity | 48 | 42 | condensate | 7 | crowbait | tarpon | 3 | 69 | Tarzan | 82 | 39 | inattentive | whore | biota | jitterbug | Orion | 13 | 79 | implicit | 87 | 37 | stencil | 81 | 19 | 95 | 62
22 : 95 | 63 | 91 | Papua | 48 | myocardial | ditch | 48 | quintuplet | typic | 97 | nephew | 54 | 38 | roulette | 23 | Baird | Wyeth | 87 | 69 | Rubin | 27 | 44 | 30 | emigre | 83 | 43 | 51 | 22 | corroboree | 97 | 54 | 99 | Kirby | 38 | 60 | 99 | 84 | indoctrinate
18 : 51 | 73 | 33 | additive | coney | string | 45 | photogenic | onrushing | 29 | 38 | 84 | 89 | 90 | 61 | Pangaea | 49 | 37 | describe | 89 | Daly | 45 | sextet | 69 | strabismic | 93 | inadvertent | 51 | 68 | 1 | 11 | 58 | 93 | 21 | 21 | Tristan | 41 | 84 | needlepoint
78 : 96 | 22 | 48 | 98 | hemlock | skittle | 66 | 90 | 16 | panhandle | 69 | 19 | 18 | corpora | 23 | 5 | mitre | 77 | 53 | 94 | 1 | 25 | 77 | Scottsdale | 50 | snippy | questionnaire | 35 | jargon | 77 | 92 | 47 | 62 | Ising | Kenneth | 60 | songbag | 33 | slivery
4 : catalyst | 56 | 66 | resume | 12 | 32 | monkish | 88 | 91 | 91 | animism | Eagan | 3 | bestir | monotonous | 36 | 54 | 37 | thorough | 6 | 20 | 9 | parvenu | laura | 33 | 53 | spy | cadmium | 30 | 95 | 13 | 55 | 81 | kava | 98 | freeboot | 71 | 20 | sperm
database : linen | 91 | move | 18 | 66 | 13 | 60 | Poynting | 97 | Angeles | 50 | headland | keel | push | Toledo | comprehensible | ostrich | 62 | 87 | breakoff | cabana | somehow | 14 | 38 | 15 | 42 | congener | 0 | 29 | bratwurst | 85 | sepia | spectrum | 56 | 11 | 59 | 17 | 53 | 93
88 : 75 | 50 | mutual | 61 | 12 | 39 | 3 | CIA | 9 | Augustine | 96 | 93 | optimist | Egyptology | 57 | 96 | cloy | 21 | 77 | crosscut | 34 | ecology | 29 | 93 | partner | Samson | toy | ingestion | 58 | 97 | 92 | 48 | 23 | impassive | 52 | 57 | stop | 58 | 74
anyplace : 42 | ferrule | 41 | 33 | shifty | 36 | 68 | 95 | 7 | bleak | 30 | 3 | 17 | Pamela | 4 | chalcocite | 95 | demitting | Dayton | 46 | 66 | gurgle | bacon | obduracy | 52 | irrational | 76 | adventurous | 3 | rev | 44 | navel | 82 | Chinook | averred | 92 | campsite | Jo | hyperboloid
Sherman : 31 | 22 | 58 | fruition | 2 | 22 | wicket | citrus | 85 | Monaco | Gilmore | 91 | 61 | 6 | 28 | Brazil | 14 | psychotherapeutic | 36 | 31 | millstone | 27 | 34 | Akron | 91 | 45 | beeswax | 1 | 62 | skyway | finial | WY | 86 | quaint | abhorrent | ablate | 92 | Valletta | flageolet
adject : 23 | 77 | klystron | 43 | nip | appease | 30 | Haas | 40 | 41 | Mary | 38 | 29 | 41 | squirrel | 90 | corpulent | gibbon | 70 | 76 | 78 | 9 | 97 | conclusion | fit | 47 | 38 | bufflehead | ploy | 97 | 58 | Heathkit | 30 | colon | 93 | 18 | inalterable | vessel | adaptation
circumference : 85 | 84 | 39 | 44 | 80 | aile | controlling | 74 | 45 | baggy | 4 | lappet | 21 | 19 | 90 | 27 | 52 | oil | illustrious | 24 | 80 | 9 | 98 | 33 | 14 | 96 | 67 | 11 | 43 | chaos | 63 | 37 | alter | 25 | menhaden | 65 | Canadian | 27 | Georgetown
freeboot : benthic | 51 | 25 | 40 | contempt | hazard | oint | 24 | 19 | 66 | stick | crud | momenta | latent | pastel | turn | 61 | 6 | repugnant | attract | perfect | 74 | Formica | 80 | 4 | idyll | 72 | 62 | 65 | symbiote | 57 | slide | 35 | fascism | faunal | 18 | 39 | 26 | 26
articulate : 34 | bombproof | 88 | 57 | practitioner | 49 | 18 | 17 | zap | windowsill | 99 | 90 | 75 | 12 | 54 | 54 | pentecostal | 59 | warfare | 14 | cool | 1 | 35 | cheater | 8 | fritter | Sorenson | Scottish | 71 | 24 | fetal | 61 | armillaria | exhaustion | 12 | 99 | 93 | Mt | 70
47 : creaky | Custer | 94 | mustn't | 52 | dying | 0 | 1 | ecumenist | children | 9 | 25 | 83 | neutral | robe | 98 | emerge | 40 | 55 | manumit | 92 | 45 | savage | blind | 87 | 71 | abominable | 13 | Politburo | numismatist | bemoan | Parr | 66 | 47 | 25 | six | 6 | rumen | 95
54 : 80 | hairdo | Sabine | 73 | spoken | idle | 1 | 74 | 96 | 16 | venerate | 56 | handicapped | 57 | 33 | cognoscenti | 65 | 3 | 63 | 9 | 91 | 43 | 97 | collapsible | 81 | brave | boletus | 40 | prefect | 26 | 18 | 25 | crony | 82 | Siegel | Sri | Clarendon | 63 | 81
73 : 23 | alibi | 20 | 25 | 87 | Napoleon | 41 | chunky | 50 | captaincy | 80 | 92 | pose | spray | 66 | dot | rhododendron | 40 | 87 | 40 | impious | 1 | binge | gist | 54 | 95 | 96 | hillock | 45 | maitre | 40 | Pembroke | 85 | 89 | 84 | 74 | 65 | intrigue | police
2 : 15 | tenor | legatee | talky | gibberish | 57 | 39 | desorption | 16 | verandah | 95 | pyridine | 28 | meddle | 6 | 72 | middleweight | exhilarate | blot | 41 | 68 | myopic | extract | 24 | 94 | 12 | 46 | Waterhouse | viscoelastic | cavalcade | 64 | 41 | guanine | 67 | sylvan | table | 83 | 66 | 91
6 : cautionary | 53 | Maldive | 41 | 40 | 34 | 10 | wedlock | 68 | 21 | absorbent | 97 | 90 | cake | 90 | brass | 71 | 95 | 53 | taboo | incidental | 46 | 89 | 37 | heir | 9 | 20 | 34 | 79 | element | aliquot | 3 | 21 | 60 | 13 | 73 | 90 | 66 | Montana
groggy : bade | ransom | 33 | 71 | 91 | perky | hotbox | 30 | 94 | 61 | 28 | 50 | chord | consonantal | 87 | 38 | 20 | 49 | 38 | 49 | 88 | shyly | 19 | 34 | nutcrack | 89 | 32 | tort | 38 | 89 | 39 | 56 | 58 | ingenious | silvery | Soc | 31 | Benedikt | 65
61 : harebrained | 45 | Maureen | 29 | 89 | seclude | 97 | 94 | tree | 74 | 84 | 88 | integral | legitimate | barracuda | ostrich | 98 | 30 | 64 | 21 | singlet | 72 | 15 | indiscreet | 9 | 44 | 7 | 5 | 55 | 86 | 43 | demographer | 50 | 56 | tenacious | 92 | divide | 69 | password
17 : 85 | 93 | Silas | 94 | 92 | 96 | teal | 0 | Alexis | palette | 12 | hint | 75 | 25 | 54 | 39 | 51 | Hewlett | strafe | 68 | 70 | 17 | invest | 81 | photolytic | 80 | shadbush | bonanza | molten | 22 | 6 | prig | 3 | 87 | 50 | iceberg | 97 | 21 | 82
86 : 82 | 25 | Dunham | 81 | 17 | 9 | biz | cipher | 17 | mineral | 9 | 55 | 79 | 55 | 14 | insight | 45 | fat | 51 | compromise | 64 | peaceful | 0 | grocery | treachery | 0 | 59 | 97 | 90 | Robertson | 76 | 13 | alien | playtime | 4 | headwater | 37 | 2 | fictitious
stove : 80 | 66 | 77 | 39 | Dempsey | 86 | 1 | money | petri | quartz | 11 | nudge | cornerstone | 45 | 53 | contribute | perform | ribald | tableland | Galilean | 63 | 80 | taillight | 88 | 33 | nightcap | 21 | embryo | precipitate | 61 | 43 | Borg | 13 | 33 | 82 | maritime | 25 | myoglobin | 48
32 : 34 | barbaric | trodden | 12 | 43 | 72 | 7 | bureau | 56 | 81 | alimony | 32 | 63 | 25 | Brunhilde | barbarian | 20 | columbine | clement | 3 | chancery | 1 | 64 | lodge | 51 | byproduct | 66 | 74 | 88 | Plutarch | Stapleton | 97 | deign | propensity | 65 | metallic | 7 | 0 | margin
93 : traitorous | 58 | railhead | doorkeep | optimist | loon | 16 | 64 | 14 | Ifni | 7 | analogue | accommodate | declamation | 37 | 32 | Beograd | mastic | 72 | calligraph | 59 | 98 | 79 | 4 | 6 | glissade | Christoffel | sow | 83 | annihilate | 49 | across | millet | 59 | froth | devise | paralysis | thine | 94
92 : pharmacist | isotope | revolution | notify | 4 | 66 | southeastern | ding | 37 | 50 | apprise | Gaines | 7 | 17 | aliphatic | millstone | 3 | 78 | 75 | 16 | Juan | 95 | bland | tippy | mockernut | 13 | 79 | 90 | freeway | fount | 14 | cannon | mare | spurious | 46 | 96 | 52 | 23 | 9
39 : posit | 27 | streptococcus | 90 | slaughter | smack | 21 | 54 | 22 | 25 | Protozoa | 23 | 5 | 32 | tinder | natural | 75 | 57 | 3 | 17 | 66 | 80 | 82 | 38 | 93 | episcopate | Andromache | 46 | flattery | 23 | fountain | 36 | 47 | 68 | 78 | electret | piddle | 2 | 33
24 : solstice | authentic | 19 | 60 | Sus | condominium | 33 | cavalier | 94 | doublet | debility | 56 | echidna | 66 | 3 | 32 | success | fourfold | 72 | eigenvalue | bulldog | Andrew | antimony | 9 | uphill | 51 | freeing | 43 | 31 | Shakespearean | armillaria | 77 | 85 | Nairobi | 61 | Tompkins | 61 | neckline | accessible
endomorphism : despot | chilly | peculiar | ersatz | 40 | 88 | pushpin | Caputo | 16 | 51 | 23 | 77 | 81 | 93 | 80 | teem | 18 | 30 | 42 | 44 | barre | 91 | preferred | 31 | 33 | 18 | 80 | 29 | 8 | 25 | 8 | 83 | 38 | 79 | 64 | 32 | 0 | reconnaissance | 43
Carlson : secede | 68 | 87 | Yorkshire | 35 | 61 | 13 | 84 | Dillon | 88 | 96 | McMullen | 57 | 18 | sesame | alia | ichneumon | 68 | oilman | 75 | 76 | 22 | 52 | Lathrop | 87 | Redstone | 17 | 60 | 50 | borrow | 22 | quaternary | fervid | 73 | 47 | cutlass | Hannah | 79 | tansy
shrank : 6 | fair | aniseikonic | 95 | 70 | 88 | revolutionary | canvass | 44 | basaltic | 81 | 93 | 90 | thud | 31 | 8 | 8 | 81 | anemone | 5 | 36 | 91 | dragonhead | detente | draftee | stroboscopic | 46 | 60 | 95 | lunate | unanimous | 84 | Walt | 84 | 91 | birdie | 89 | 11 | 76
Cretaceous : 98 | 10 | cholesterol | potable | Stratton | 49 | indiscoverable | blight | 40 | within | Alison | 10 | 88 | Elmer | afar | refugee | 98 | 1 | Ziegler | immerse | 70 | 28 | 72 | 21 | 12 | 98 | 45 | curium | 49 | victim | 81 | cede | 99 | 34 | delimitation | Igor | 17 | 54 | 71
4 : parboil | 5 | appendage | bivalve | 50 | 90 | heretic | 56 | 53 | officious | co | safeguard | 33 | 67 | freedman | 1 | 78 | Danny | 28 | 91 | 16 | rufous | 70 | 54 | Palmolive | secondhand | crocus | bone | mensuration | 77 | 9 | vasoconstriction | 61 | 20 | 89 | lure | 53 | 75 | 38
44 : 27 | corrector | 49 | myoglobin | 20 | Celt | 3 | 60 | 88 | 76 | 27 | concurrent | throes | 54 | 19 | 92 | 91 | wooden | 62 | 72 | indivisible | 17 | 72 | 89 | 85 | 54 | 44 | month | 63 | 76 | 88 | inapproachable | 20 | 97 | fictitious | device | 72 | 73 | 33
41 : enough | theocracy | 22 | 97 | theory | 63 | Rensselaer | downward | 25 | 57 | 15 | barren | concession | sidestepped | 6 | cotta | ruckus | 62 | 94 | 36 | password | meanwhile | 63 | numerology | nominal | bullet | 31 | Claudia | mammary | 3 | 46 | 77 | aspire | Hellespont | 15 | 31 | verve | nit | dine
71 : mirage | papery | baneberry | 90 | 2 | 19 | 79 | 21 | 4 | 69 | 18 | polis | 66 | 14 | 17 | Methuselah | 4 | 11 | 6 | toolkit | 89 | 56 | appendage | 58 | 6 | 8 | 65 | rhapsodic | 63 | 62 | 29 | 52 | 41 | mastermind | 54 | candidate | 56 | Achilles | midrange
41 : Paso | 92 | 42 | Olivier | chub | 72 | abort | tableau | exegesis | 97 | 35 | 76 | mattress | 68 | 22 | farsighted | 17 | 12 | octant | 85 | 50 | 95 | 3 | 33 | 39 | cormorant | 24 | 88 | 58 | organ | 7 | 30 | 78 | 34 | 78 | 53 | 67 | 53 | 22
Switzerland : 46 | 0 | 60 | 69 | complexion | bricklaying | Neapolitan | pagoda | 39 | 96 | fiery | 31 | 20 | trapezoidal | extricable | 70 | 23 | 79 | 12 | 1 | 23 | lappet | taught | 20 | 65 | sole | 69 | 31 | serenade | 58 | denial | 67 | Nostrand | 6 | 14 | hare | enemy | 3 | answer
IEEE : 11 | sign | 18 | 60 | skill | 7 | 68 | usury | 86 | 72 | 0 | 28 | 76 | 66 | 28 | vex | Kodachrome | 25 | exogenous | 4 | helpful | 15 | 51 | ubiquity | 84 | 96 | bankruptcy | turban | 2 | Harold | 31 | 29 | churchyard | 45 | bloodletting | inaccessible | nepotism | SW | 38
Englishman : 47 | applaud | 32 | 95 | exemplify | 86 | 1 | 42 | 75 | 60 | 10 | blab | 67 | 57 | Glenda | 62 | Perle | 17 | 29 | 12 | 61 | 39 | 50 | 3 | bouquet | 48 | 57 | Asher | iris | crossroad | 23 | 42 | skiff | Bismark | McGregor | 8 | 23 | 58 | 8
ibid : 64 | Tioga | corralled | 26 | 21 | 90 | 53 | 13 | handout | 4 | 85 | Effie | 66 | Goren | 14 | 12 | 92 | hygroscopic | Nicholson | areawide | 28 | 90 | 36 | Balboa | varnish | tattler | 85 | 1 | Quinn | 33 | pervade | 83 | 89 | 36 | perturb | 40 | Fresnel | 23 | transconductance
96 : juniper | 22 | 92 | intonate | Garth | emit | 77 | 53 | 78 | 88 | 2 | 88 | Cominform | 27 | 49 | 90 | 87 | yank | Krause | 24 | 52 | Crispin | 53 | 98 | 81 | 21 | 11 | 64 | 0 | 72 | leopard | scheme | 20 | nematocyst | 52 | 86 | 23 | exhortation | 82
Andy : Canaveral | Englishmen | Daly | 70 | 78 | guillemot | 84 | 17 | 97 | 59 | 59 | conservatism | 51 | suffuse | 88 | squashy | Paris | 24 | obstetric | recriminate | 14 | Jacksonville | infectious | 73 | 60 | 18 | 97 | 75 | 69 | 2 | unison | 25 | Brennan | acoustic | 90 | baseboard | 40 | 47 | 3
76 : 0 | chickpea | tawdry | Julie | bottommost | 70 | waffle | 8 | requisition | 35 | canary | kilohm | optoisolate | 67 | 95 | 83 | 76 | screenplay | repetitive | 48 | karma | 62 | 93 | 55 | 34 | curd | spacious | 9 | 78 | crowbar | chignon | 34 | showmen | refugee | 64 | pounce | 49 | 26 | fledgling
Weldon : maladjust | 79 | 68 | 21 | splat | memoir | Jones | 5 | 51 | 50 | Nikolai | 54 | 74 | pedagogue | 65 | 52 | 24 | policy | 82 | 25 | morel | 80 | repulsion | Lawrence | 81 | 52 | 81 | 26 | 26 | 69 | 68 | 84 | megahertz | 55 | Telex | 33 | 52 | funereal | supposition
36 : Horowitz | dramaturgy | 71 | Lucas | 45 | 67 | 26 | 16 | smokestack | Sperry | mannequin | Schmidt | 37 | 95 | over | 7 | turtleback | 88 | proteolytic | 8 | lug | 45 | 27 | 53 | 32 | 83 | chalky | serology | 46 | 76 | 71 | 7 | 6 | 82 | 13 | else | 97 | 85 | 55
natal : 72 | 99 | antipode | savage | O'Brien | 94 | 74 | telegraph | madcap | paraboloid | war | 11 | 81 | 5 | 4 | 50 | 87 | 83 | hippy | sulfurous | quintet | typo | Pasadena | 89 | polka | hemp | 95 | 91 | 54 | 33 | 66 | 91 | 84 | tycoon | 35 | 52 | sharp | 8 | 87
48 : Rangoon | 4 | 56 | crawl | 39 | 56 | 71 | 46 | contralateral | nocturnal | perk | trimester | quilt | Wayne | glass | 17 | personnel | 44 | harelip | 19 | 67 | Alastair | 3 | 74 | kapok | bellyaching | for | 2 | 67 | Buchwald | 15 | 4 | fragment | 95 | 32 | 33 | cowhide | 74 | 55
62 : 60 | 11 | 91 | 27 | Otis | 31 | blackguard | rupture | 37 | 83 | 24 | 81 | j's | Nair | 29 | 56 | 91 | Bismark | archangel | pose | 61 | 23 | 35 | sponge | 64 | 47 | indigent | 65 | 52 | 75 | urinal | ventricle | aardvark | incorporable | 86 | matriarchal | 73 | swelt | rain
amphibian : 12 | 99 | 97 | 45 | 79 | swanky | brainchild | vocabularian | 46 | locomotion | 59 | beribbon | 69 | narcotic | lantern | 54 | femoral | Andes | 94 | 28 | gimpy | 43 | 55 | 42 | 84 | 83 | 43 | 5 | thespian | 61 | 13 | dash | 38 | 25 | pathbreaking | schoolmarm | fireproof | 96 | 79
